id,member_id,loan_amnt,term,emp_title,emp_length,home_ownership,annual_inc,verification_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_major_derog,mths_since_last_record,pub_rec,open_acc,total_acc,acc_now_delinq,tot_coll_amt,revol_bal,revol_util,total_credit_rv,tot_cur_bal,int_rate
38514880,41308640.0,25000.0,36.0,,n/a,RENT,180000.0,Source Verified,debt_consolidation,333xx,FL,9.37,0.0,1989-03-01,1.0,,,,0.0,15.0,39.0,0.0,0.0,45482.0,78.3,58100.0,65353.0,16.49
38644550,41428300.0,8000.0,36.0,Police officer,10+ years,RENT,120000.0,Not Verified,debt_consolidation,112xx,NY,39.86,0.0,1990-10-01,0.0,,,,0.0,18.0,30.0,0.0,0.0,89796.0,61.0,147300.0,132211.0,10.49
41074479,43950459.0,5000.0,36.0,,n/a,RENT,27000.0,Verified,debt_consolidation,498xx,MI,15.11,0.0,1994-08-01,4.0,,,63.0,1.0,13.0,23.0,0.0,0.0,5032.0,34.9,14400.0,8615.0,13.99
44775244,47852959.0,6000.0,36.0,Asbestos handler,10+ years,RENT,20000.0,Not Verified,debt_consolidation,113xx,NY,18.25,2.0,2001-05-01,0.0,14.0,72.0,,0.0,11.0,21.0,0.0,11328.0,6209.0,50.5,12300.0,6209.0,9.99
57344384,61047105.0,16825.0,36.0,CFO / Office Manager,10+ years,RENT,46800.0,Not Verified,debt_consolidation,919xx,CA,32.62,0.0,2007-07-01,0.0,,,,0.0,16.0,19.0,0.0,0.0,9758.0,36.1,27000.0,35750.0,15.61
57378363,61131084.0,9000.0,36.0,"Assistant Director, Business Development",4 years,MORTGAGE,72000.0,Not Verified,debt_consolidation,462xx,IN,10.57,0.0,1989-08-01,0.0,,,,0.0,15.0,25.0,0.0,0.0,11197.0,32.2,34730.0,106437.0,7.89
38479463,41273388.0,5000.0,36.0,manager/server,7 years,MORTGAGE,48000.0,Source Verified,home_improvement,281xx,NC,30.45,0.0,2010-03-01,1.0,,,,0.0,10.0,12.0,0.0,71.0,10154.0,69.5,14600.0,47099.0,12.99
39671142,42494931.0,11025.0,60.0,Program Asst,10+ years,RENT,60000.0,Not Verified,credit_card,331xx,FL,24.22,0.0,1978-05-01,0.0,38.0,,,0.0,22.0,43.0,0.0,188.0,17724.0,38.0,46600.0,116845.0,15.99
50466943,53846723.0,8000.0,36.0,Guest Service Supervisor,10+ years,RENT,82000.0,Source Verified,home_improvement,100xx,NY,6.81,1.0,2006-03-01,2.0,20.0,,,0.0,10.0,36.0,0.0,0.0,4632.0,17.8,26000.0,48181.0,9.17
55959250,59621007.0,5000.0,36.0,Painter,4 years,RENT,30000.0,Source Verified,debt_consolidation,591xx,MT,17.08,0.0,2011-08-01,0.0,,,,0.0,7.0,8.0,0.0,0.0,6079.0,60.2,10100.0,61425.0,12.69
60376742,64353516.0,13000.0,36.0,Lieutenant,10+ years,MORTGAGE,95000.0,Not Verified,debt_consolidation,014xx,MA,6.66,0.0,1996-10-01,0.0,30.0,,,0.0,9.0,23.0,0.0,96.0,29922.0,60.6,49400.0,222675.0,7.26
38486470,41280282.0,16000.0,60.0,Lead Analyst,8 years,MORTGAGE,105000.0,Verified,debt_consolidation,705xx,LA,22.93,0.0,1998-10-01,0.0,68.0,42.0,,0.0,13.0,36.0,0.0,210.0,12994.0,70.0,18450.0,322867.0,21.99
38584295,41368020.0,35000.0,36.0,Pharmacist,1 year,RENT,121000.0,Verified,small_business,191xx,PA,15.46,1.0,2005-12-01,1.0,18.0,,,0.0,24.0,33.0,0.0,0.0,9915.0,67.9,14600.0,309582.0,24.5
